price,area,bedrooms,bathrooms,stories,parking,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus,location
27294000.0,3481.0,5,3.0,3,0,yes,yes,yes,no,no,yes,semi-furnished,Chennai
31713000.0,2152.0,4,2.0,3,1,yes,no,no,yes,no,no,semi-furnished,Mumbai
24784000.0,1763.0,2,1.0,2,0,yes,no,no,no,no,yes,unfurnished,Delhi
22184000.0,4230.0,5,3.0,2,2,no,no,no,no,yes,no,furnished,Ahmedabad
42854000.0,2229.0,4,,2,1,yes,yes,yes,yes,no,no,semi-furnished,Mumbai
28239000.0,3891.0,6,4.0,2,0,yes,no,no,no,no,yes,unfurnished,Chennai
17940000.0,2405.0,2,2.0,1,0,yes,no,no,no,yes,no,semi-furnished,Chennai
63467000.0,3640.0,6,4.0,1,2,yes,no,no,no,no,no,semi-furnished,Mumbai
45845000.0,2518.0,3,2.0,2,2,yes,no,yes,no,yes,no,semi-furnished,Mumbai
18765000.0,3147.0,4,2.0,2,1,yes,no,yes,no,yes,no,semi-furnished,Ahmedabad
30306000.0,2308.0,3,2.0,2,1,yes,no,no,no,no,no,semi-furnished,Delhi
20852000.0,3045.0,5,4.0,1,2,no,no,yes,yes,no,no,semi-furnished,Hyderabad
32863000.0,3790.0,5,3.0,1,1,yes,yes,no,no,no,yes,furnished,Chennai
71793000.0,4644.0,6,4.0,1,2,yes,no,yes,yes,no,no,semi-furnished,Mumbai
20527000.0,2864.0,3,2.0,2,2,yes,no,no,no,yes,no,semi-furnished,Hyderabad
23129000.0,2962.0,4,2.0,2,2,no,yes,yes,no,yes,no,semi-furnished,Pune
23102000.0,2356.0,4,3.0,2,1,yes,no,no,no,no,no,unfurnished,Bangalore
37613000.0,2028.0,3,2.0,2,1,no,yes,no,no,yes,no,semi-furnished,Mumbai
24727000.0,3516.0,5,4.0,2,0,yes,yes,yes,no,yes,no,unfurnished,Ahmedabad
18390000.0,2468.0,3,2.0,3,2,yes,no,no,no,no,no,unfurnished,Pune
70106000.0,3635.0,4,3.0,2,1,yes,no,yes,no,no,yes,semi-furnished,Mumbai
18620000.0,2090.0,2,1.0,2,1,yes,no,yes,no,yes,no,unfurnished,Pune
40054000.0,2565.0,3,2.0,2,1,yes,no,no,no,yes,yes,furnished,Mumbai
17051000.0,2165.0,3,1.0,1,2,yes,yes,no,no,no,no,semi-furnished,Pune
28268000.0,2315.0,3,1.0,1,1,yes,no,no,no,yes,yes,semi-furnished,Bangalore
26135000.0,3651.0,5,4.0,2,1,yes,yes,no,no,yes,yes,furnished,Hyderabad
33773000.0,2725.0,5,4.0,3,1,yes,yes,no,no,no,no,semi-furnished,Delhi
23383000.0,2548.0,4,2.0,1,0,yes,no,yes,no,no,yes,semi-furnished,Pune
52739000.0,2848.0,4,3.0,1,0,yes,no,no,yes,no,yes,,Mumbai
36582000.0,2966.0,4,3.0,2,2,yes,yes,no,no,no,no,unfurnished,Bangalore
26405000.0,3530.0,5,5.0,1,1,yes,yes,no,no,no,yes,furnished,Hyderabad
48154000.0,3962.0,6,3.0,2,0,yes,no,yes,no,yes,no,unfurnished,Delhi
22182000.0,3244.0,4,3.0,2,1,yes,no,no,no,no,yes,semi-furnished,Kolkata
39012000.0,3555.0,5,3.0,2,0,yes,yes,no,yes,no,no,semi-furnished,Delhi
38630000.0,2416.0,3,2.0,2,0,yes,no,yes,no,no,no,unfurnished,Mumbai
27328000.0,3680.0,5,4.0,2,0,no,yes,yes,no,no,no,unfurnished,Hyderabad
30103000.0,2739.0,3,2.0,2,3,yes,no,yes,no,no,no,semi-furnished,Delhi
21999000.0,3602.0,4,3.0,2,1,yes,yes,no,no,no,no,furnished,Kolkata
16246000.0,1739.0,2,2.0,3,1,yes,no,no,no,yes,yes,semi-furnished,Chennai
9855000.0,1087.0,2,2.0,1,2,no,no,yes,no,yes,no,semi-furnished,Kolkata
88703000.0,4824.0,6,5.0,1,1,yes,yes,no,no,yes,yes,semi-furnished,Mumbai
13809000.0,1951.0,4,2.0,3,3,yes,yes,yes,no,no,no,unfurnished,Hyderabad
18480000.0,2374.0,4,2.0,2,1,yes,no,yes,yes,no,no,unfurnished,Hyderabad
13760000.0,1536.0,3,1.0,1,0,yes,no,no,no,no,yes,unfurnished,Chennai
22448000.0,3378.0,5,4.0,3,0,yes,no,yes,no,yes,no,semi-furnished,Ahmedabad
32690000.0,2990.0,4,2.0,2,1,yes,no,no,no,yes,no,semi-furnished,Delhi
31148000.0,2064.0,3,2.0,3,1,yes,no,no,no,no,no,unfurnished,Mumbai
12672000.0,1024.0,2,2.0,2,0,yes,no,no,yes,no,no,semi-furnished,Delhi
22225000.0,2725.0,3,3.0,1,1,yes,yes,yes,no,no,no,unfurnished,Hyderabad
21233000.0,3270.0,3,3.0,2,1,yes,no,no,no,no,yes,semi-furnished,Kolkata
17482000.0,1722.0,2,2.0,2,2,yes,no,yes,no,yes,yes,semi-furnished,Bangalore
32697000.0,4094.0,6,4.0,2,1,yes,no,yes,no,no,no,semi-furnished,Pune
